 [2019-04-04 02:33:16] com.mysql.jdbc.JDBC4PreparedStatement@19d050df: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 03:19:40] com.mysql.jdbc.JDBC4PreparedStatement@38e70190: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 03:27:49] com.mysql.jdbc.JDBC4PreparedStatement@2ea650cf: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 04:24:36] com.mysql.jdbc.JDBC4PreparedStatement@221d15e6: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 06:34:55] com.mysql.jdbc.JDBC4PreparedStatement@77fb7242: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:19:44] com.mysql.jdbc.JDBC4PreparedStatement@3c7ec763: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:22:15] com.mysql.jdbc.JDBC4PreparedStatement@7d95e90f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:43:53] com.mysql.jdbc.JDBC4PreparedStatement@5586f380: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:43:54] com.mysql.jdbc.JDBC4PreparedStatement@56d60495: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:44:51] com.mysql.jdbc.JDBC4PreparedStatement@db79751: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:44:51] com.mysql.jdbc.JDBC4PreparedStatement@4ea2b590: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:44:51] com.mysql.jdbc.JDBC4PreparedStatement@7e9d8015: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:47:54] com.mysql.jdbc.JDBC4PreparedStatement@602515b8: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 11:56:52] com.mysql.jdbc.JDBC4PreparedStatement@44ef7dd1: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 13:14:31] com.mysql.jdbc.JDBC4PreparedStatement@323e5095: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 18:29:24] com.mysql.jdbc.JDBC4PreparedStatement@329327dd: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 18:29:24] com.mysql.jdbc.JDBC4PreparedStatement@443af8c6: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 18:34:40] com.mysql.jdbc.JDBC4PreparedStatement@741a6e81: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 19:55:23] com.mysql.jdbc.JDBC4PreparedStatement@6c255a55: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 20:11:49] com.mysql.jdbc.JDBC4PreparedStatement@4f23d4e3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 21:52:12] com.mysql.jdbc.JDBC4PreparedStatement@48c2e782: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 22:19:11] com.mysql.jdbc.JDBC4PreparedStatement@3b20e7a9: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 22:39:30] com.mysql.jdbc.JDBC4PreparedStatement@7263277: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-04 23:05:59] com.mysql.jdbc.JDBC4PreparedStatement@3249f7c3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
