 [2019-04-15 00:10:12] com.mysql.jdbc.JDBC4PreparedStatement@21efb95b: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 00:25:49] com.mysql.jdbc.JDBC4PreparedStatement@1ec67e00: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 01:00:40] com.mysql.jdbc.JDBC4PreparedStatement@44ea6892: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 01:17:01] com.mysql.jdbc.JDBC4PreparedStatement@3fa4e1aa: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 06:05:56] com.mysql.jdbc.JDBC4PreparedStatement@28327f4: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 10:20:44] com.mysql.jdbc.JDBC4PreparedStatement@3cafa780: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 10:43:58] com.mysql.jdbc.JDBC4PreparedStatement@48f1d94c: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 11:35:48] com.mysql.jdbc.JDBC4PreparedStatement@b8cd534: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 11:46:42] com.mysql.jdbc.JDBC4PreparedStatement@522c49dc: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 13:58:42] com.mysql.jdbc.JDBC4PreparedStatement@5469a0ad: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 14:15:24] com.mysql.jdbc.JDBC4PreparedStatement@4531f73c: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 14:30:07] com.mysql.jdbc.JDBC4PreparedStatement@5a17e865: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 15:57:26] com.mysql.jdbc.JDBC4PreparedStatement@11086825: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 16:59:59] com.mysql.jdbc.JDBC4PreparedStatement@29c931b3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 19:11:13] com.mysql.jdbc.JDBC4PreparedStatement@587b4ad0: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 19:36:16] com.mysql.jdbc.JDBC4PreparedStatement@67d2268: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 20:19:43] com.mysql.jdbc.JDBC4PreparedStatement@25b2e198: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-15 23:17:15] com.mysql.jdbc.JDBC4PreparedStatement@3a442428: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
