 [2019-04-16 00:27:40] com.mysql.jdbc.JDBC4PreparedStatement@35a4558: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 00:27:44] com.mysql.jdbc.JDBC4PreparedStatement@5ffc2445: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 00:27:45] com.mysql.jdbc.JDBC4PreparedStatement@7071bc33: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 00:28:01] com.mysql.jdbc.JDBC4PreparedStatement@12a52103: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 00:28:02] com.mysql.jdbc.JDBC4PreparedStatement@2487bc1f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 00:28:20] com.mysql.jdbc.JDBC4PreparedStatement@314d3a55: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 03:44:24] com.mysql.jdbc.JDBC4PreparedStatement@5431b250: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 04:20:27] com.mysql.jdbc.JDBC4PreparedStatement@40d90c63: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 06:01:40] com.mysql.jdbc.JDBC4PreparedStatement@792b0b5c: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 07:00:15] com.mysql.jdbc.JDBC4PreparedStatement@4e264bf3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 08:47:14] com.mysql.jdbc.JDBC4PreparedStatement@10ae8749: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 08:49:18] com.mysql.jdbc.JDBC4PreparedStatement@77bc47e6: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 08:49:24] com.mysql.jdbc.JDBC4PreparedStatement@184b9ca7: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 09:08:34] com.mysql.jdbc.JDBC4PreparedStatement@d6ca47f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 10:41:20] com.mysql.jdbc.JDBC4PreparedStatement@88daf61: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 10:41:22] com.mysql.jdbc.JDBC4PreparedStatement@336dda97: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 11:56:30] com.mysql.jdbc.JDBC4PreparedStatement@5f5be8ae: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 12:46:55] com.mysql.jdbc.JDBC4PreparedStatement@71e58146: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-16 13:24:43] com.mysql.jdbc.JDBC4PreparedStatement@1e302d2a: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
