 [2019-04-23 00:54:22] com.mysql.jdbc.JDBC4PreparedStatement@5accb983: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 01:02:47] com.mysql.jdbc.JDBC4PreparedStatement@46fde06e: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 02:00:57] com.mysql.jdbc.JDBC4PreparedStatement@52d3db6f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 02:08:05] com.mysql.jdbc.JDBC4PreparedStatement@62063e19: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 10:02:30] com.mysql.jdbc.JDBC4PreparedStatement@52b57d0e: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 10:36:10] com.mysql.jdbc.JDBC4PreparedStatement@5c33c3c4: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 10:55:48] com.mysql.jdbc.JDBC4PreparedStatement@33f90b3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 11:18:52] com.mysql.jdbc.JDBC4PreparedStatement@236ca832: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 11:25:04] com.mysql.jdbc.JDBC4PreparedStatement@77cc0487: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 11:28:46] com.mysql.jdbc.JDBC4PreparedStatement@79eec79a: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 11:46:07] com.mysql.jdbc.JDBC4PreparedStatement@3400d07b: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 11:46:08] com.mysql.jdbc.JDBC4PreparedStatement@127d494a: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 12:54:13] com.mysql.jdbc.JDBC4PreparedStatement@5e86ee2: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 13:58:43] com.mysql.jdbc.JDBC4PreparedStatement@1e3aead2: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 15:01:13] com.mysql.jdbc.JDBC4PreparedStatement@8f07328: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 15:02:35] com.mysql.jdbc.JDBC4PreparedStatement@761a1b5f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 15:05:04] com.mysql.jdbc.JDBC4PreparedStatement@5e1224d9: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 15:50:30] com.mysql.jdbc.JDBC4PreparedStatement@15e2dc80: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-23 15:50:30] com.mysql.jdbc.JDBC4PreparedStatement@7bba6963: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
